date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-10-05,74.42916666666666,51.59583333333333,1817.125,77.6875,57.6625,50.541666666666664,0.6808333333333333,0.0,2.06875,120.70833333333333,75.08333333333333
2022-10-06,70.51666666666667,48.55833333333334,1493.25,69.95833333333333,48.61666666666667,50.5,0.6320833333333333,0.125,1.84375,145.70833333333334,83.33333333333333
2022-10-07,87.7625,60.770833333333336,1695.5,83.94583333333334,61.93333333333334,63.041666666666664,0.6079166666666667,0.041666666666666664,2.1166666666666667,138.20833333333334,80.70833333333333
2022-10-08,77.3625,53.97083333333333,1703.75,68.72083333333333,49.82916666666667,56.541666666666664,0.5379166666666667,0.0,2.2624999999999997,154.29166666666666,91.04166666666667
2022-10-09,73.62083333333334,51.208333333333336,1747.0,65.25833333333334,56.925000000000004,65.625,0.51625,0.0,1.9937500000000001,138.25,80.70833333333333
2022-10-10,67.32916666666667,46.62916666666666,1302.7083333333333,67.21666666666667,51.82083333333333,38.708333333333336,0.6970833333333334,0.0,0.975,130.16666666666666,78.0
2022-10-11,76.75,53.25,1339.6666666666667,72.32916666666667,53.47083333333333,66.45833333333333,0.6395833333333333,0.20833333333333334,1.8479166666666667,138.16666666666666,80.5
2022-10-12,91.00833333333333,61.93333333333334,1697.5833333333333,81.62916666666666,51.38333333333333,58.25,0.5883333333333333,1.3333333333333333,1.7604166666666667,150.58333333333334,86.33333333333333
2022-10-13,88.69166666666666,59.791666666666664,1778.375,65.34583333333333,56.479166666666664,63.75,0.6375000000000001,2.375,2.44375,154.0,90.5
2022-10-14,52.44583333333333,36.137499999999996,945.3333333333334,50.59166666666667,38.00833333333333,63.25,0.5683333333333334,0.4583333333333333,2.1041666666666665,118.54166666666667,74.58333333333333
2022-10-15,56.38333333333333,39.18333333333333,964.4583333333334,62.44583333333333,42.354166666666664,67.95833333333333,0.6075,0.0,2.4270833333333335,101.375,68.33333333333333
2022-10-16,86.55416666666667,60.012499999999996,1571.0416666666667,79.37083333333334,61.14166666666667,61.125,0.5525,0.0,2.0104166666666665,145.29166666666666,85.54166666666667
2022-10-17,86.21666666666665,59.7125,1370.75,69.95833333333333,58.8375,65.66666666666667,0.7287499999999999,0.0,1.6291666666666667,150.66666666666666,85.54166666666667
2022-10-18,76.2625,53.0,1464.0416666666667,84.39166666666667,54.050000000000004,17.791666666666668,0.6470833333333333,0.0,0.7583333333333333,150.95833333333334,86.0
2022-10-19,37.12916666666667,25.916666666666668,1238.75,47.32083333333333,24.075,11.541666666666666,0.22624999999999998,0.0,1.1125,108.125,70.70833333333333
2022-10-20,42.1,29.329166666666666,1461.0833333333333,47.9,27.59166666666667,19.833333333333332,0.29541666666666666,0.0,1.2729166666666667,84.125,62.333333333333336
2022-10-21,33.63333333333333,23.3875,1358.5,39.65833333333333,23.45,11.333333333333334,0.2866666666666667,0.0,0.9291666666666667,72.58333333333333,49.0
2022-10-22,86.10416666666667,60.00416666666666,2762.6666666666665,71.22083333333333,58.86666666666667,50.291666666666664,0.5495833333333333,0.0,2.1166666666666667,116.83333333333333,73.5
2022-10-23,88.8125,61.949999999999996,2003.75,81.50416666666666,49.4,80.91666666666667,0.76375,0.0,1.9354166666666668,159.5,92.5
2022-10-24,65.4375,45.75416666666666,1553.875,78.27916666666667,43.35833333333333,57.791666666666664,0.67625,0.0,1.1145833333333333,140.5,81.91666666666667
2022-10-25,95.41666666666667,66.51666666666667,1810.4583333333333,83.43333333333334,55.71666666666667,109.08333333333333,0.8858333333333334,0.0,1.7833333333333332,160.875,85.75
2022-10-26,86.9875,60.46666666666667,1713.0,95.50416666666666,47.76666666666667,42.833333333333336,0.5741666666666666,0.0,0.9249999999999999,153.41666666666666,89.58333333333333
2022-10-27,117.95833333333333,81.99583333333334,2605.2083333333335,114.82916666666667,68.87916666666666,69.95833333333333,0.7545833333333333,0.0,1.1875,157.54166666666666,94.58333333333333
2022-10-28,95.70833333333333,65.94166666666666,2093.4583333333335,91.8625,57.166666666666664,70.875,0.7312500000000001,0.08333333333333333,2.0395833333333333,161.625,101.5
2022-10-29,96.6375,66.22500000000001,1263.125,80.89583333333333,59.48333333333333,77.75,1.2091666666666667,0.0,1.53125,156.20833333333334,90.29166666666667
